ksic_code,gics_industry_code,gics_industry,gics_sub_industry_code,gics_sub_industry,source,confidence,updated_at
12000,302030,Tobacco,30203010,Tobacco,manual,1.0,2026-05-12T15:52:30
108,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T15:52:30
4632,301010,Food & Staples Retailing,30101020,Food Distributors,manual,1.0,2026-05-12T15:52:30
11122,302010,Beverages,30201020,Distillers & Vintners,manual,1.0,2026-05-12T15:52:30
11209,302010,Beverages,30201030,Soft Drinks,manual,1.0,2026-05-12T15:52:30
104,302010,Beverages,30201030,Soft Drinks,manual,1.0,2026-05-12T15:52:30
46,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T15:52:30
1012,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T15:52:30
10211,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T15:52:30
102,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T15:52:30
10832,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T16:18:50
10891,302020,Food Products,30202030,Packaged Foods & Meats,manual,1.0,2026-05-12T18:40:35
64992,302020,Packaged Foods & Meats,30202030,Packaged Foods & Meats,manual,1.0,2026-05-15T15:23:47
